productid,clusterid,gtin,mpn,sku,productname,brand,description,price,currency
abt_101,cluster_22641,8.24142E+11,,,MSI PS Series Aluminum Silver Laptop Computer,MSI,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250H Processor/ 14.0"" (1920x1080) LED Backlit Display/ 8GB DDR4 2400MHz Memory/ 512GB SSD/ NVIDIA GeForce MX 150 With 2GB GDDR5 Memory/ 720p Webcam/ Bluetooth 5.0/ Backlit Keyboard/ Windows 10 Pro 64-Bit/ Aluminum Silver Finish",1019,USD
abt_103,cluster_21906,1.90199E+11,,,"Apple MacBook Air 13"" Gold 1.6GHz Intel Core i5 Notebook Computer",Apple,1.6GHz (Turbo Boost Up To 3.60GHz) Dual-Core Intel Core i5 Processor/ 8GB Of 2133MHz LPDDR3 Onboard Memory/ 13.3-Inch LED-Backlit Display With IPS Technology/ 128GB PCIe-Based SSD/ Intel UHD Graphics 617/ 720p FaceTime HD Camera/ 802.11ac Wi-Fi/ Bluetooth 4.2/ Built-In 50.3-Watt-Hour Lithium-Polymer Battery/ macOS Mojave Operating System/ Gold Finish,1199,USD
abt_111,cluster_21834,1.90199E+11,,,"Apple MacBook Air 13"" Silver 1.6GHz Intel Core i5 Notebook Computer",Apple,1.6GHz (Turbo Boost Up To 3.60GHz) Dual-Core Intel Core i5 Processor/ 8GB Of 2133MHz LPDDR3 Onboard Memory/ 13.3-Inch LED-Backlit Display With IPS Technology/ 256GB PCIe-Based SSD/ Intel UHD Graphics 617/ 720p FaceTime HD Camera/ 802.11ac Wi-Fi/ Bluetooth 4.2/ Built-In 50.3-Watt-Hour Lithium-Polymer Battery/ macOS Mojave Operating System/ Silver Finish,1399,USD
abt_112,cluster_21898,1.90199E+11,,,"Apple MacBook Air 13"" Space Gray 1.6GHz Intel Core i5 Notebook Computer",Apple,1.6GHz (Turbo Boost Up To 3.60GHz) Dual-Core Intel Core i5 Processor/ 8GB Of 2133MHz LPDDR3 Onboard Memory/ 13.3-Inch LED-Backlit Display With IPS Technology/ 256GB PCIe-Based SSD/ Intel UHD Graphics 617/ 720p FaceTime HD Camera/ 802.11ac Wi-Fi/ Bluetooth 4.2/ Built-In 50.3-Watt-Hour Lithium-Polymer Battery/ macOS Mojave Operating System/ Space Gray Finish,1399,USD
abt_117,cluster_22254,1.9233E+11,,,Lenovo ThinkPad X1 Yoga Silver Laptop Computer,Lenovo,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 14.0"" (1920 x 1080) IPS LED Backlit Touchscreen Display/ 256GB SSD M.2 PCIe NVMe Opal2/ 8GB Memory/ Intel UHD Graphics 620/ Backlit Keyboard/ Bluetooth 4.1/ 6MB Cache/ ThinkPad Pen Pro/ 720p Webcam/ Windows 10 Pro 64-Bit/ Silver Finish",1669,USD
abt_118,cluster_22134,1.92876E+11,,,Asus ROG Strix SCAR II GL704 Black Gaming Laptop Computer,ASUS,"2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 17.3"" FHD (1920x1080) Matte 144Hz 3ms LED Backlit IPS-Level Display/ 256GB NVMe/PCIE SSD + 1TB 5400rpm SATA Hard Drive/ 16GB DDR4 Memory/ NVIDIA GTX1060 With 6GB GDDR5 Memory/ 802.11ac/ Bluetooth 5.0/ HD Web Camera/ Windows 10 64-Bit/ Black Finish",1699,USD
abt_121,cluster_22076,1.92876E+11,,,"Asus ROG Strix SCAR II 15.6"" Black Gaming Laptop Computer",ASUS,144Hz IPS-Type Display/ Slim 5mm Bezel/ 3ms Response Time/ Customizable Gaming Keyboard And Lighting Bar/ Anti-Dust Technology/ 8th-Generation Intel Core i7-8750H/ 256GB PCIe NVMe Solid State Drive & 1TB FireCuda SSHD/ 16GB DDR4 Memory/ Black Finish,1999,USD
abt_123,cluster_22290,8.24142E+11,,,MSI GS65 Stealth THIN-050 Matte Black Gaming Laptop Computer,MSI,"2.20GHz (Turbo Boost Up To 4.10Ghz) Intel Core i7-8750H Processor/ 15.6"" (1920x1080) Anti-Glare 144Hz LED Backlit Display/ 16GB DDR4 2400MHz Memory/ 512GB NVMe SSD/ NVIDIA GeForce GTX1060 With 6GB GDDR5 Memory/ Killer Gaming Network E2500/ 720p Webcam/ Windows 10 Pro/ Matte Black Finish",,
abt_126,cluster_22375,1.92019E+11,,,HP Chromebook Black Laptop Computer,HP,"1.10GHz (Turbo Boost Up To 2.40GHz) Intel Celeron N3350 Processor/ 14.0"" (1366x768) WLED Backlit Multitouch-Enabled Display/ 4GB LPDDR4-2133 SDRAM Memory/ 32GB eMMC/ 2MB Cache/ Intel HD Graphics 500/ 802.11ac/ HP TrueVision HD Camera/ SD Media Card Reader/ Chrome OS/ Black Finish",329,USD
abt_127,cluster_22063,8.89842E+11,,,"Microsoft Surface Book 2 13.5"" Silver 512GB i7 Laptop Computer",Microsoft,"8th Gen Intel Core i7-8650U (Quad-Core) Processor With Up To 4.20GHz Max Turbo Speed/ 13.5"" (3000x2000) PixelSense Multi-Touch Display/ 16GB 1866Mhz LPDDR3 Memory/ 512GB SSD/ NVIDIA GeForce GTX 1050 With 2GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1 LE/ 5.0 Megapixel Front-Facing Camera/ 8.0 Megapixel Rear-Facing Autofocus Camera With 1080p Full HD Video/ Front-Facing Stereo Speakers With Dolby Audio Premium/ Ambient Light Sensor/ Accelerometer/ Gyroscope/ Magnetometer/ Up To 17 Hours Of Video Playback/ Windows 10 Pro 64-Bit/ Silver Finish",2499,USD
abt_129,cluster_22258,1.92018E+11,,,HP ProBook 450 G3 Silver Notebook Computer,HP,"15.6"" Diagonal HD SVA Anti-Glare LED-Backlit Display/ Intel Core i5-6200U With Intel HD Graphics 520 Processor/ 4 GB DDR4-2133 SDRAM Memory/ 500 GB 7200 rpm SATA Internal Drive 720p HD Webcam Camera/ Designed For Mobility/ HP Premium Keyboard/ 4-Cell, 41 Wh Li-ion Battery/ Silver Finish",749,USD
abt_135,cluster_22278,8.24142E+11,,,MSI GE63 Raider RGB-011 Aluminum Black Gaming Laptop Computer,MSI,"2.20GHz (Turbo Boost Up To 4.10Ghz) Intel Core i7-8750H Processor/ 15.6"" (1920x1080) 120Hz LED Backlit Display/ 16GB DDR4 2400MHz Memory/ 256GB M.2 SATA + 1TB 7200rpm Hard Drive/ NVIDIA GeForce GTX1060 With 6GB GDDR5 Memory/ Killer Gaming Network E2500/ 720p Webcam/ Bluetooth 5.0/ Windows 10 64-Bit/ Aluminum Black Finish",1549,USD
abt_140,cluster_22992,1.92331E+11,,,Lenovo IdeaPad 330 Platinum Gray Notebook Computer,Lenovo,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 15.6"" (1366x768) LED Backlit Touchscreen Display/ 1TB 5400 RPM SATA Hard Drive/ 8GB DDR4 SDRAM Memory/ 6MB Cache/ Intel HD Graphics 620/ 802.11ac/ Bluetooth 4.1/ 720p Webcam/ Windows 10 Home 64-Bit/ Platinum Gray Finish",690,USD
abt_15,cluster_22331,8.89842E+11,,,"Microsoft Surface Book 2 15"" Silver 1TB i7 Laptop Computer",Microsoft,"8th Gen Intel Core i7-8650U (Quad-Core) Processor With Up To 4.20GHz Max Turbo Speed/ 15"" (3240x2160) PixelSense Multi-Touch Display/ 16GB 1866Mhz LPDDR3 Memory/ 1TB SSD/ NVIDIA GeForce GTX 1060 With 6GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1 LE/ 5.0 Megapixel Front-Facing Camera/ 8.0 Megapixel Rear-Facing Autofocus Camera With 1080p Full HD Video/ Front-Facing Stereo Speakers With Dolby Audio Premium/ Ambient Light Sensor/ Accelerometer/ Gyroscope/ Magnetometer/ Up To 17 Hours Of Video Playback/ Windows 10 Pro 64-Bit/ Silver Finish",,
abt_156,cluster_22566,8.84116E+11,,,Dell XPS 13 Silver Laptop Computer,DELL,"1.80GHz (Turbo Boost Up To 4.00GHz) Intel Core i7-8550U Processor/ 13.3"" (3840 x 2160) 4K Ultra HD InfinityEdge Touchscreen Display/ 8GB DDR3L-2133 Memory/ 1TB SSD/ Intel UHD Graphics 620 / 8MB Cache/ 802.11ac/ Bluetooth 4.1/ Windows 10 Home 64-Bit/ Silver Finish",2099,USD
abt_17,cluster_22168,8.8935E+11,,,Asus Chromebook Flip C101PA Silver Laptop Computer,ASUS,"2.00GHz Rockchip RK3399 Processor/ 10.1"" WXGA (1280x800) Glossy LED Backlit Touchscreen Display/ 16GB eMMC/ 4GB LPDDR3 (On Board) Memory/ Mali-T860MP4 Graphics/ 802.11ac/ Bluetooth 4.0/ HD Web Camera/ Chrome OS/ Silver Finish",299,USD
abt_18,cluster_22293,1.90577E+11,,,Lenovo N42 Chromebook Black Laptop Computer,Lenovo,"1.60GHz (Turbo Boost Up To 2.40GHz) Intel Celeron N3060 Processor/ 14.0"" HD (1366 x 768) Anti-Glare LED Backlit Display/ 4GB LPDDR3 1600MHz/ 2MB Cache/ 32GB eMMC Storage/ Intel HD Graphics 400/ Bluetooth 4.1/ 720p HD With Microphone/ Black Finish",209,USD
abt_19,cluster_22269,1.91114E+11,,,Acer Aspire R 15 Black Notebook Computer,Acer,"2.50GHz (Turbo Boost Up To 3.10GHz) Intel Core i5-7200U Processor/ 15.6"" Full HD (1920 x 1080) Multi-Touch IPS 360� Hinge Display/ 256GB SSD/ 8GB DDR4 Memory/ NVIDIA GeForce 940MX With 2GB GDDR5 Memory/ 720p Webcam/ 3MB Cache/ Backlit Keyboard/ Windows 10 Home/ Black Finish",699,USD
abt_24,cluster_22710,1.90198E+11,,,"Apple MacBook 12"" With 1.2GHz Intel Core M3 Space Grey",Apple,1.2GHz Dual-Core Intel Core m3 Processor (Turbo Boost Up To 3.0GHz)/ 8GB Of 1866MHz LPDDR3 Onboard Memory/ 12-Inch LED-Backlit Retina Display/ 2304-By-1440 Resolution At 226 Pixels Per Inch/ 16:10 Aspect Ratio/ 256GB PCIe-Based Onboard Flash Storage/ Intel HD Graphics 615/ 802.11ac Wi-Fi/ Bluetooth 4.2 Wireless Technology/ USB-C Port/ 480p FaceTime Camera/ Force Touch Trackpad/ Built-In 41.4-Watt-Hour Lithium-Polymer Battery/ macOS Sierra Operating System/ Space Grey Finish,1299,USD
abt_27,cluster_22470,8.87276E+11,,,Samsung Chromebook Pro Laptop Computer,Samsung,"Intel Core M3 Processor 6Y30/ 2.2Ghz Speed/ LCD Size 12.3""/ Built-In Pen/ Thin And Lightweight/ Storage Capacity 32GB/ ENERGY STAR Certified/ Battery Life 9 Hours/ Spill Resistant/ Bluetooth 4.1/ Intel HD Graphics 515/ 2.2Ghz Speed/ Chrome OS/ Black Finish",599,USD
abt_28,cluster_22018,1.90199E+11,,,"Apple MacBook Pro 13"" Space Gray Touch Bar & Touch ID 2.3GHz Intel Core i5 256GB SSD Laptop Computer",Apple,2.3GHz Quad-Core 8th-Generation Intel Core i5 Processor/ 13.3-Inch LED-Backlit Display/ 2560-By-1600 Native Resolution/ Turbo Boost Up To 3.8GHz/ Retina Display With True Tone/ Intel Iris Plus Graphics 655/ 8GB 2133MHz LPDDR3 Memory/ 256GB SSD Storage/ Touch Bar And Touch ID/ Four Thunderbolt 3 Ports/ 720p FaceTime HD Camera/ Bluetooth 5.0/ macOS High Sierra/ Space Gray Finish,,
abt_32,cluster_22137,1.90199E+11,,,"Apple MacBook Pro 15"" Space Gray Touch Bar & Touch ID 2.6GHz Intel Core i7 512GB SSD Laptop Computer",Apple,2.6GHz 6-Core 8th-Generation Intel Core i7 Processor/ 15.4-Inch LED-Backlit Display/ 2880-By-1800 Native Resolution/ Turbo Boost Up To 4.3GHz/ Retina Display With True Tone/ Radeon Pro 560X With 4GB Of GDDR5 Memory/ 16GB 2400MHz DDR4 Memory/ 512GB SSD Storage/ Touch Bar And Touch ID/ Four Thunderbolt 3 Ports/ 720p FaceTime HD Camera/ Bluetooth 5.0/ macOS High Sierra/ Space Gray Finish,,
abt_34,cluster_22780,8.8935E+11,,,Asus ZenBook Flip Slate Gray Notebook Computer,ASUS,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 14"" FHD (1920 x 1080) Glossy Touchscreen LED Backlit Display/ 8GB LPDDR3 Memory/ 256GB SSD/ 6MB Cache/ Intel HD Graphics 620/ 802.11ac/ Bluetooth 4.2/ HD Webcam/ Windows 10 Home 64-Bit/ Slate Gray Finish",899,USD
abt_37,cluster_22972,8.8935E+11,,,Asus ROG Strix Scar GL703 Black Gaming Laptop Computer,ASUS,"2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 17.3"" FHD (1920x1080) Matte 144Hz 3ms LED Backlit G-SYNC Display/ 256GB NVMe/PCIE SSD + 1TB SSHD (8GB Cache) FireCuda/ 16GB DDR4-2666MHz Memory/ NVIDIA GTX1070 With 8GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1/ HD Web Camera/ Windows 10 64-Bit/ Black Finish",1899,USD
abt_39,cluster_21932,8.84116E+11,,,Dell Inspiron 17 5000 Platinum Silver Laptop Computer,DELL,1.80GHz (Turbo Boost Up To 4.00GHz) Intel Core i7-8550U Processor/ 8GB DDR4-SDRAM Memory/ 2TB 5400rpm SATA Hard Drive/ Intel UHD Graphics 620/ 802.11ac/ Bluetooth 4.1/ 3-In-1 Memory Card Reader/ 8MB Cache/ Windows 10 Home 64-Bit/ Platinum Silver Finish,857,USD
abt_4,cluster_22498,8.89349E+11,,,Asus Chromebook Flip C302 Silver Laptop Computer,ASUS,"900 MHz (Turbo Boost Up To 2.20GHz) Intel Core m3-6Y30 Processor/ 12.5"" FHD (1920x1080) LED Backlit Touch Screen With Corning Gorilla Glass/ 64GB eMMC Storage/ 4GB LPDDR3 Memory/ 4MB Cache/ Intel HD Graphics 515/ Bluetooth 4.0/ HD Web Camera/ 360 Degree Hinge/ Chrome OS/ Silver Finish",499,USD
abt_40,cluster_22887,8.8935E+11,,,Asus VivoBook S Gold Notebook Computer,ASUS,"1.80GHz (Turbo Boost Up To 4.00GHz) Intel Core i7-8550U Processor/ 15.6"" NanoEdge (1920x1080) LED Backlit WideView Display/ 128GB SSD + 1TB 5400 RPM SATA Hard Drive/ 8GB DDR4 Memory/ 8MB Cache/ Intel UHD Graphics 620/ 802.11ac/ Bluetooth 4.1/ VGA Webcam/ Backlit Keyboard/ Fingerprint Sensor/ Windows 10 Home 64-Bit/ Gold Finish",799,USD
abt_46,cluster_22831,8.8935E+11,,,Asus ROG Zephyrus M GM501 Black Gaming Laptop Computer,ASUS,"2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 15.6"" FHD (1920x1080) Matte 144Hz 3ms LED Backlit G-SYNC Display/ 256GB NVMe/PCIE SSD + 1TB SSHD (8GB Cache) FireCuda/ 16GB DDR4-2666MHz Memory/ NVIDIA GTX1070 With 8GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1/ HD Web Camera/ Windows 10 Pro 64-Bit/ Black Finish",2199,USD
abt_5,cluster_22975,8.89349E+11,,,Asus Chromebook C202 Dark Blue/Silver Laptop Computer,ASUS,"1.60GHz (Turbo Boost Up To 2.48GHz) Intel Core Celeron N3060 Processor/ 11.6 "" (1366x768) LED Backlit Display/ 16GB eMMC Storage/ 4GB DDR3L 1066 MHz SDRAM Memory/ Bluetooth 4.2/ HD Webcam/ 802.11ac/ Chrome OS/ Dark Blue And Silver Finish",229,USD
abt_52,cluster_22330,1.92545E+11,,,HP ENVY x360 Silver Laptop Computer,HP,"1.80GHz (Turbo Boost Up To 4.00GHz) Intel Core i7-8550U Processor/ 15.6"" (1920x1080) LED Backlit Touchscreen Display/ 256GB SSD/ 8GB DDR4 SDRAM Memory/ 8MB Cache/ Built-In Webcam/ Windows 10 Home 64-Bit/ Silver Finish",960,USD
abt_54,cluster_22904,1.92651E+11,,,Lenovo ThinkPad E480 Black Laptop Computer,Lenovo,"2.30GHz Intel Core i37020U Processor/ 14"" HD (1366 x 768) LED Backlit Anti-Glare Display/ 500GB SATA Hard Drive/ 4GB DDR4 SDRAM Memory/ 720p Webcam/ AMD Radeon RX 550 With 2GB Memory/ Bluetooth 4.1/ Windows 10 Pro 64-Bit/ Black Finish",604,USD
abt_55,cluster_22949,1.92331E+11,,,"Lenovo Flex 6 14.0"" Onyx Black 2-In-1 Laptop Computer",Lenovo,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 14.0"" (1920 x 1080) Touchscreen Display/ 256GB SSD/ 8GB DDR4-2400MHz Memory/ NVIDIA GeForce MX130 With 2GB GDDR5 Memory/ Backlit Keyboard/ 802.11ac/ Bluetooth 4.1/ Dolby Audio Premium / 6MB Cache/ Windows 10 Home 64-Bit/ Onyx Black Finish",864,USD
abt_63,cluster_22823,8.8935E+11,,,Asus ROG Strix GL703 Black Gaming Laptop Computer,ASUS,"2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 17.3"" FHD (1920x1080) Matte 120Hz LED Backlit Display/ 256GB NVMe/PCIE SSD + 1TB SSHD (8GB Cache) FireCuda/ 16GB DDR4-2666MHz Memory/ NVIDIA GTX1060 With 6GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1/ HD Web Camera/ Windows 10 64-Bit/ Black Finish",1599,USD
abt_70,cluster_22608,8.24142E+11,,,MSI GS63VR Stealth Pro-674 Aluminum Black Gaming Laptop Computer,MSI,"2.80GHz (Turbo Boost Up To 3.80Ghz) Intel Core i7-7700HQ Processor/ 15.6"" (1920x1080) LED Backlit Display/ 16GB DDR4 2400MHz Memory/ 128GB M.2 SATA + 1TB 5400rpm Hard Drive/ NVIDIA GeForce GTX1060 With 6GB GDDR5 Memory/ Killer Gaming Network E2500/ 1080p Webcam/ Bluetooth 4.1/ Backlit Keyboard/ Windows 10 64-Bit/ Aluminum Black Finish",,
abt_73,cluster_22232,8.89842E+11,,,"Microsoft Surface Go 10"" Silver 64GB Intel Pentium Gold Tablet Computer",Microsoft,"Intel Pentium Gold Processor 4415Y Processor/ 10"" PixelSense Display/ 1800 x 1200 Resolution/ 1500:1 Contrast Ratio/ 64GB eMMC Drive Storage/ 4GB Memory/ Up To 9 Hours Battery Life/ Intel HD Graphics 615/ Bluetooth Wireless 4.1 Technology/ Ambient Light Sensor/ Gyroscope/ Accelerometer/ Surface Go Signature Type Cover And Surface Pen Sold Separately/ Windows 10 In S Mode/ Silver Finish",399,USD
abt_76,cluster_22212,1.91114E+11,,,Acer Predator Helios 300 Black Gaming Laptop Computer,Acer,"2.80GHz (Turbo Boost Up To 3.80GHz) Intel Core i7-7700HQ Processor/ 15.6"" (1920x1080) ComfyView In-Plane Switching (IPS) LED Backlit Display/ 16GB DDR4 SDRAM Memory/ 1TB SATA + 256GB SSD/ 6MB Cache/ NVIDIA GeForce GTX 1060 With 6GB GDDR5 Memory/ 802.11ac/ Windows 10 Home 64-Bit/ Black Finish",1399,USD
abt_82,cluster_22868,1.90781E+11,,,HP EliteBook X360 1030 G2 Silver Notebook Computer,HP,Iconic Elite Design/ Take It For A Spin/ Superb Protection/ Creativity And Collaboration Go Hand-In-Hand/ Keep Visual Hackers In The Dark/ Self-Healing Safeguard/ Charge Fast/ Easy Connections/ Easy Connections/ Silver Finish,1349,USD
abt_83,cluster_22799,1.90781E+11,,,HP EliteBook 840 G4 Silver Notebook Computer,HP,"2.70GHz (Turbo Boost Up To 3.50GHz) Intel Core i7-7500U Processor/ 14.0"" (1920x1080) Corning Gorilla Glass 4 LED Backlit Touch Screen Display/ 256GB HP Z Turbo Drive PCIe SSD/ 8GB DDR4-2133 SDRAM Memory/ 4MB Cache/ 720p HD Webcam/ SD Media Card Reader/ Audio By Bang & Olufsen/ Windows 10 Home 64-Bit/ Silver Finish",1499,USD
abt_89,cluster_22890,1.9078E+11,,,HP Chromebook Anodized Silver Laptop Computer,HP,"1.60GHz (Turbo Boost Up To 2.48GHz) Intel Celeron N3060 Processor/ 11.6"" (1366x768) WLED Backlit Display/ 4GB LPDDR3 Memory/ 16GB eMMC/ 2MB Cache/ Intel HD Graphics 400/ 802.11ac/ Built-In Webcam/ Chrome OS/ Anodized Silver Finish",189,USD
abt_96,cluster_22928,1.92545E+11,,,HP Pavilion Ceramic White Laptop Computer,HP,"1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 15.6"" (1920x1080) LED Backlit Touchscreen Display/ 1TB SATA Hard Drive/ 8GB DDR4 SDRAM Memory/ Intel UHD Graphics 620/ 6MB Cache/ Built-In Webcam/ Windows 10 Home 64-Bit/ Ceramic White Finish",650,USD
antonline_1000,cluster_21732,8.8935E+11,,,ASUS VivoBook Pro 17 17.3??? Thin and Portable FHD Laptop,Asus,,995,USD
antonline_1001,cluster_22121,8.24142E+11,,,"MSI GL73 8RD-031 VR Ready 17.3"" LCD Gaming Notebook",MSI,,1274,USD
antonline_1005,cluster_22803,8.24142E+11,,,"MSI GS73 STEALTH-016 VR Ready 17.3"" LCD Gaming Notebook",MSI,,2339,USD
antonline_1009,cluster_22334,8.24142E+11,,,"MSI GP63 Leopard-041 VR Ready 15.6"" LCD Gaming Notebook",MSI,,1299,USD
antonline_1021,cluster_21868,8.24142E+11,,,"MSI GE73 Raider RGB-012 VR Ready 17.3"" LCD Gaming Notebook",MSI,,2085,USD
antonline_1032,cluster_22254,1.9233E+11,,,"Lenovo ThinkPad X1 Yoga 3rd Gen 20LF000JUS 14"" Touchscreen LCD 2 in 1 Ultrabook",Lenovo,,1681,USD
antonline_1038,cluster_22343,8.8935E+11,,,"Asus VivoBook 14 F441BA-DS94 14"" LCD Notebook",Asus,,528,USD
antonline_1039,cluster_22073,8.84116E+11,,,"Dell Latitude 7000 7290 12.5"" LCD Notebook",Dell,,1183,USD
antonline_1044,cluster_22226,8.8935E+11,,,"Asus ZenBook Flip 14 UX461UN-DS74T 14"" Touchscreen LCD Notebook",Asus,,1325,USD
antonline_1047,cluster_22780,8.8935E+11,,,"Asus ZenBook Flip 14 UX461UA-DS51T 14"" Touchscreen LCD Notebook",Asus,,899,USD
antonline_105,cluster_22909,1.92545E+11,,,"HP EliteBook 850 G5 15.6"" LCD Notebook",HP,,1292,USD
antonline_1051,cluster_22655,8.84116E+11,,,"Dell Latitude 7000 7490 14.1"" LCD Notebook",Dell,,1225,USD
antonline_1055,cluster_22948,8.84116E+11,,,"Dell Latitude 5590 15.6"" Intel Core i7 8th Gen LCD Notebook",Dell,,1378,USD
antonline_1060,cluster_22780,8.84116E+11,,,"Dell Latitude 5490 14"" LCD Notebook",Dell,,981,USD
antonline_1061,cluster_22622,8.84116E+11,,,"Dell Latitude 5490 14"" LCD Notebook",Dell,,795,USD
antonline_1062,cluster_22663,1.9233E+11,,,"Lenovo ThinkPad X380 Yoga 20LH0018US 13.3"" Touchscreen LCD 2 in 1 Notebook",Lenovo,,1805,USD
antonline_1067,cluster_22004,8.84116E+11,,,"Dell Latitude 3000 3590 15.6"" LCD Notebook",Dell,,1033,USD
antonline_1071,cluster_22338,7.19193E+11,,,"LG gram 14Z970-U.AP71U1 14"" LCD Notebook",LG,,1580,USD
antonline_1073,cluster_21444,1.91999E+11,,,"Lenovo IdeaPad Flex 5-1570 81CA0007US 15.6"" Touchscreen LCD 2 in 1 Notebook",Lenovo,,740,USD
antonline_1074,cluster_22608,8.24142E+11,,,"MSI GS63VR Stealth Pro-674 15.6"" LCD Gaming Notebook",MSI,,1498,USD
antonline_1081,cluster_21732,8.84116E+11,,,"Dell Inspiron 15 7000 15-7577 Intel Core i5 8 GB DDR4 SDRAM NVIDIA GeForce GTX 1060 with 6 GB GDDR5 15.6"" LCD Gaming Notebook",Dell,,1070,USD
antonline_1087,cluster_22361,8.84116E+11,,,"Dell Precision 7520 15.6"" Intel Core i7 (7th Gen) IPS LCD Mobile Workstation 8GB 256GB SSD",Dell,,1800,USD
antonline_1088,cluster_22011,8.84116E+11,,,"Dell Precision 7720 17.3"" Intel Core i7 (6th Gen) IPS LCD Mobile Workstation 8GB 500GB HDD",Dell,,1741,USD
antonline_1090,cluster_22948,8.84116E+11,,,"Dell Inspiron 15 7000 15-7577 15.6"" Intel Core i5 8 GB DDR4 SDRAM NVIDIA GeForce GTX 1060 with 6 GB GDDR5 LCD Gaming Notebook",Dell,,1099,USD
antonline_1101,cluster_22649,8.8935E+11,,,"Asus VivoBook F542UA-DH71 15.6"" LCD Notebook",Asus,,840,USD
antonline_1104,cluster_22986,8.8935E+11,,,"Asus ZenBook 3 Deluxe UX490UA-XH74-BL 14"" LCD Notebook",Asus,,,
antonline_1107,cluster_22215,1.91114E+11,,,"Acer TravelMate Spin B1 B118-RN TMB118-RN-C8JP 11.6"" Touchscreen LCD 2 in 1 Notebook",Acer,,343,USD
antonline_1112,cluster_21994,1.91114E+11,,,"Acer Aspire R5-571TG-51A3 15.6"" Touchscreen LCD Notebook",Acer,,702,USD
antonline_1113,cluster_22922,8.8935E+11,,,"Asus ZenBook Pro UX550VE-DB71T 15.6"" Touchscreen LCD Notebook",Asus,,1699,USD
antonline_1114,cluster_22798,1.91114E+11,,,"Acer Aspire A517-51-568Y 17.3"" LCD Notebook",Acer,,583,USD
antonline_1125,cluster_21886,1.91546E+11,,,"Lenovo ThinkPad P71 20HK001RUS 17.3"" LCD Mobile Workstation",Lenovo,,2186,USD
antonline_1126,cluster_22594,8.8935E+11,,,"Asus Chromebook Flip C213SA-YS02 11.6"" Touchscreen LCD 2 in 1 Chromebook",Asus,,381,USD
antonline_1132,cluster_22212,1.91114E+11,,,"Acer Predator Helios 300 G3-572-72YF 15.6"" LCD Notebook",Acer,,1330,USD
antonline_1138,cluster_22269,1.91114E+11,,,"Acer Aspire R5-571TG-57YD 15.6"" Touchscreen LCD Notebook",Acer,,713,USD
antonline_1140,cluster_22347,8.88864E+11,,,"Acer Switch V 10 SW5-017P-17JJ 10.1"" Touchscreen LCD 2 in 1 Notebook",Acer,,390,USD
antonline_1146,cluster_22895,1.91377E+11,,,"Lenovo ThinkPad P71 20HK0013US 17.3"" LCD Mobile Workstation",Lenovo,,1402,USD
antonline_115,cluster_22197,1.90782E+11,,,"HP 255 G6 15.6"" LCD Notebook",HP,,398,USD
antonline_1156,cluster_22200,1.91376E+11,,,"Lenovo IdeaPad 320S-15IKB 80X50002US 15.6"" LCD Notebook",Lenovo,,648,USD
antonline_1157,cluster_22540,1.91376E+11,,,"Lenovo IdeaPad 320S-15IKB 15.6"" LCD Notebook",Lenovo,,673,USD
antonline_1169,cluster_22332,8.84116E+11,,,"Dell 3180 11.6"" LCD Chromebook 4 GB 16 GB Flash Memory Black",Dell,,200,USD
antonline_1171,cluster_22499,8.84116E+11,,,Dell Latitude 14 7000 14,Dell,,1260,USD
antonline_1173,cluster_22369,8.84116E+11,,,"Dell Latitude 7000 7480 14"" LCD Notebook",Dell,,1800,USD
antonline_1179,cluster_22356,8.84116E+11,,,"Dell Latitude 7000 7280 12.5"" LCD Notebook",Dell,,1450,USD
antonline_1189,cluster_22498,8.89349E+11,,,"Asus Chromebook Flip C302CA-DHM4 12.5"" Touchscreen LCD 2 in 1 Chromebook",Asus,,528,USD
antonline_119,cluster_22976,1.90781E+11,,,"HP EliteBook 840 G4 14"" LCD Notebook",HP,,1144,USD
antonline_1192,cluster_22762,8.8935E+11,,,"Asus Transformer Book T101HA-C4-GR 10.1"" Touchscreen 2 in 1 Notebook",Asus,,324,USD
antonline_1198,cluster_22975,8.89349E+11,,,"Asus Chromebook C202SA-YS02 11.6"" Chromebook",Asus,,256,USD
antonline_1205,cluster_22386,8.88863E+11,,,"Acer C910-3916 15.6"" LCD Chromebook",Acer,,452,USD
